id	nombre	tipo	fuente	region	provincia	comuna	CAUSA	QUE_HACE_FALTA	bahia_mas_cercana	bahia_con_restricciones	bahia_con_cierres	es_caleta_pesquera	actividades
208	Caleta Pesquera El Ingles - Isla Santa Maria	Caleta	MOP	08	Concepción	Coronel	fuera de todo radio	ampliar el radio a 31 km, o una bahía que hoy no está en BAHIA_COORDS	100 BAHÍA CORONEL @30.6km	sí	sí	no	
248	Muelle Puerto Norte - Isla Santa María	Muelle	MOP	08	Concepción	Coronel	fuera de todo radio	ampliar el radio a 31 km, o una bahía que hoy no está en BAHIA_COORDS	100 BAHÍA CORONEL @30.4km	sí	sí	no	
627	Paseo Costero Playa Negra	Infraestructura Portuaria	MOP	08	Concepción	Penco	empate entre candidatas	adjudicación humana entre: 97 BAHÍA CONCEPCIÓN - LIRQUÉN @3.8km  vs  98 BAHÍA CONCEPCIÓN - TALCAHUANO @10.3km  vs  99 BAHÍA SAN VICENTE @11.6km	97 BAHÍA CONCEPCIÓN - LIRQUÉN @3.8km	sí	sí	no	
202	Borde Costero Tome	Defensa Costera	MOP	08	Concepción	Tomé	empate entre candidatas	adjudicación humana entre: 97 BAHÍA CONCEPCIÓN - LIRQUÉN @8.6km  vs  98 BAHÍA CONCEPCIÓN - TALCAHUANO @16.2km  vs  99 BAHÍA SAN VICENTE @18.6km	97 BAHÍA CONCEPCIÓN - LIRQUÉN @8.6km	sí	sí	no	
243	Borde Costero Sector Bellavista de Tomé	Defensa Costera	MOP	08	Concepción	Tomé	empate entre candidatas	adjudicación humana entre: 97 BAHÍA CONCEPCIÓN - LIRQUÉN @9.2km  vs  98 BAHÍA CONCEPCIÓN - TALCAHUANO @16.6km  vs  99 BAHÍA SAN VICENTE @19.0km	97 BAHÍA CONCEPCIÓN - LIRQUÉN @9.2km	sí	sí	no	
201	Caleta Pesquera Tome	Caleta	MOP	08	Concepción	Tomé	empate entre candidatas	adjudicación humana entre: 97 BAHÍA CONCEPCIÓN - LIRQUÉN @10.3km  vs  98 BAHÍA CONCEPCIÓN - TALCAHUANO @17.0km  vs  99 BAHÍA SAN VICENTE @19.4km	97 BAHÍA CONCEPCIÓN - LIRQUÉN @10.3km	sí	sí	no	
225	Borde Costero de Dichato	Defensa Costera	MOP	08	Concepción	Tomé	empate entre candidatas	adjudicación humana entre: 97 BAHÍA CONCEPCIÓN - LIRQUÉN @18.5km  vs  98 BAHÍA CONCEPCIÓN - TALCAHUANO @23.7km  vs  99 BAHÍA SAN VICENTE @26.2km	97 BAHÍA CONCEPCIÓN - LIRQUÉN @18.5km	sí	sí	no	
199	Caleta Pesquera Villarrica de Dichato	Caleta	MOP	08	Concepción	Tomé	empate entre candidatas	adjudicación humana entre: 97 BAHÍA CONCEPCIÓN - LIRQUÉN @19.2km  vs  98 BAHÍA CONCEPCIÓN - TALCAHUANO @24.6km  vs  99 BAHÍA SAN VICENTE @27.1km	97 BAHÍA CONCEPCIÓN - LIRQUÉN @19.2km	sí	sí	no	
192	Defensa Costera Coliumo Sur	Defensa Costera	MOP	08	Concepción	Tomé	empate entre candidatas	adjudicación humana entre: 97 BAHÍA CONCEPCIÓN - LIRQUÉN @19.1km  vs  98 BAHÍA CONCEPCIÓN - TALCAHUANO @23.4km  vs  99 BAHÍA SAN VICENTE @25.8km	97 BAHÍA CONCEPCIÓN - LIRQUÉN @19.1km	sí	sí	no	
198	Caleta Pesquera Coliumo	Caleta	MOP	08	Concepción	Tomé	empate entre candidatas	adjudicación humana entre: 97 BAHÍA CONCEPCIÓN - LIRQUÉN @19.3km  vs  98 BAHÍA CONCEPCIÓN - TALCAHUANO @23.5km  vs  99 BAHÍA SAN VICENTE @26.0km	97 BAHÍA CONCEPCIÓN - LIRQUÉN @19.3km	sí	sí	no	
626	Paseo Costero de Taucú	Infraestructura Portuaria	MOP	16	Itata	Cobquecura	fuera de todo radio	ampliar el radio a 61 km, o una bahía que hoy no está en BAHIA_COORDS	97 BAHÍA CONCEPCIÓN - LIRQUÉN @60.7km	sí	sí	no	
302	Caleta Pesquera Taucú	Caleta	MOP	16	Itata	Cobquecura	fuera de todo radio	ampliar el radio a 61 km, o una bahía que hoy no está en BAHIA_COORDS	97 BAHÍA CONCEPCIÓN - LIRQUÉN @60.7km	sí	sí	no	
303	Borde Costero Buchupureo	Defensa Costera	MOP	16	Itata	Cobquecura	fuera de todo radio	ampliar el radio a 73 km, o una bahía que hoy no está en BAHIA_COORDS	97 BAHÍA CONCEPCIÓN - LIRQUÉN @72.2km	sí	sí	no	
120	Rampa Balseo Caliboro Sur	Rampa	MOP	07	Linares	Retiro	fuera de todo radio	ampliar el radio a 78 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @78.0km	sí	sí	no	
119	Rampa Balseo Caliboro Norte	Rampa	MOP	07	Linares	San Javier	fuera de todo radio	ampliar el radio a 78 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @77.9km	sí	sí	no	
604	Borde Costero de Curanipe	Defensa Costera	MOP	07	Cauquenes	Pelluhue	fuera de todo radio	ampliar el radio a 61 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @60.7km	sí	sí	no	
184	Caleta Pesquera Curanipe	Caleta	MOP	07	Cauquenes	Pelluhue	fuera de todo radio	ampliar el radio a 61 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @60.6km	sí	sí	no	
185	Caleta Pesquera Pelluhue	Caleta	MOP	07	Cauquenes	Pelluhue	fuera de todo radio	ampliar el radio a 57 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @56.2km	sí	sí	no	
118	Rampa Balseo El Peumo Este	Rampa	MOP	07	Linares	Villa Alegre	fuera de todo radio	ampliar el radio a 70 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @69.8km	sí	sí	no	
117	Rampa Balseo El Peumo Oeste	Rampa	MOP	07	Linares	San Javier	fuera de todo radio	ampliar el radio a 70 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @69.6km	sí	sí	no	
182	Borde Costero Loanco	Defensa Costera	MOP	07	Cauquenes	Chanco	fuera de todo radio	ampliar el radio a 35 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @34.1km	sí	sí	no	
183	Caleta Pesquera Loanco	Caleta	MOP	07	Cauquenes	Chanco	fuera de todo radio	ampliar el radio a 35 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @34.1km	sí	sí	no	
187	Defensa Costera Sector La Pesca	Defensa Costera	MOP	07	Curicó	Licantén	fuera de todo radio	ampliar el radio a 45 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @44.5km	sí	sí	no	
189	Borde Costero de Iloca	Defensa Costera	MOP	07	Curicó	Licantén	fuera de todo radio	ampliar el radio a 49 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @48.2km	sí	sí	no	
173	Caleta Pesquera Duao	Caleta	MOP	07	Curicó	Licantén	fuera de todo radio	ampliar el radio a 55 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @54.3km	sí	sí	no	
190	Borde Costero Duao Norte	Defensa Costera	MOP	07	Curicó	Licantén	fuera de todo radio	ampliar el radio a 55 km, o una bahía que hoy no está en BAHIA_COORDS	103 BAHÍA CONSTITUCIÓN @54.7km	sí	sí	no	
188	Defensa Costera de Lipimavida Sector los Junquillos	Defensa Costera	MOP	07	Curicó	Vichuquén	fuera de todo radio	ampliar el radio a 56 km, o una bahía que hoy no está en BAHIA_COORDS	95 PICHILEMU @55.7km	sí	sí	no	
191	Defensa Costera Lipimávida	Defensa Costera	MOP	07	Curicó	Vichuquén	fuera de todo radio	ampliar el radio a 54 km, o una bahía que hoy no está en BAHIA_COORDS	95 PICHILEMU @53.9km	sí	sí	no	
174	Defensa Costera Infiernillo	Defensa Costera	MOP	07	Curicó	Vichuquén	fuera de todo radio	ampliar el radio a 52 km, o una bahía que hoy no está en BAHIA_COORDS	95 PICHILEMU @51.8km	sí	sí	no	
