clave;nombre_en_la_capa;rol;lat_dec;lon_dec;lat_dms;lon_dms
MT;Mar Territorial;termino_norte_de_la_linea;-18.35003809;-70.59073400;18 21 00,137 S;70 35 26,642 W
ZC;Zona Contigua;termino_norte_de_la_linea;-18.35011667;-70.80101309;18 21 00,420 S;70 48 03,647 W
ZEE;Zona Económica Exclusiva  y Plataforma Continental;termino_norte_de_la_linea;-20.16194243;-73.72602849;20 09 42,993 S;73 43 33,703 W
MT;Mar Territorial;ancla_retrocalculada_MT_sobre_paralelo;-18.35003809;-70.38046675;18 21 00,137 S;70 22 49,680 W
ZC;Zona Contigua;ancla_retrocalculada_ZC_sobre_paralelo;-18.35011667;-70.38047840;18 21 00,420 S;70 22 49,722 W
MT;Mar Territorial;ancla_retrocalculada_MT_sobre_geodesica_NO_USAR;-18.34992211;-70.38046685;18 20 59,720 S;70 22 49,681 W
ZC;Zona Contigua;ancla_retrocalculada_ZC_sobre_geodesica_NO_USAR;-18.34965271;-70.38047915;18 20 58,750 S;70 22 49,725 W
MT+ZC;promedio de los dos retrocalculos;ancla_del_limite;-18.35007738;-70.38047258;18 21 00,279 S;70 22 49,701 W
