nombre,canal,geometria_ref,ancho_util_m,sonda_canal_min_m,calado_max_m,eslora_max_m,corriente_max_kt,restriccion,pagina,texto_aproximado,es_duplicado_de,contexto
Paso Simbrad,Canal Pérez Sur,SIN_GEOMETRIA,,,,,,,384,no,,"Paso Simbrad.- Carta No 8100. Separa la costa S de la isla Arthur —por el lado N— de la costa N de la isla Mellersh —por el lado S—, en una extensión de algo más de 8 millas en dirección W-E y present"
Paso Huarro,Paso Huarro,SIN_GEOMETRIA,,,,,,,385,no,,"Paso Huarro.- Carta No 8100. Separa la costa S de la isla Mellersh —por el lado N— de la costa N de la isla Midhurst —por el lado S—, en una extensión de algo más de 8 millas en dirección media WNW- 0"
Paso Senarega,Paso Huarro,SIN_GEOMETRIA,,,,,,,386,no,,"Paso Senarega.- Carta No 8200. Separa la costa S de las islas Boya y Midhurst —por el lado N— de la costa N de las islas Gentiles y May —por el lado S—, en una extensión de como 6 millas en dirección"
Paso Jesuitas,Paso Huarro,SIN_GEOMETRIA,,,,,,,386,no,,"Paso Jesuitas.- Cartas No 8100 y 8200. Separa la costa S de la isla Bustos —por el lado N— de la costa N de las islas Travieso y Téllez —por el lado S—, en una extensión de casi 3 millas en dirección"
Paso Playa Bonita,Paso Huarro,SIN_GEOMETRIA,,,,,,,386,no,,"Paso Playa Bonita.- Carta No 8200. Separa la costa S de las islas Gentiles y May —por el lado N— de la costa N de la isla Forsyth —por el lado S—, en una extensión de casi 6,5 millas en dirección W-E"
Canal Alanta,Canal Alanta,SIN_GEOMETRIA,,,,,,,387,no,,"Canal Alanta.- Cartas No 8100, 8200 y 8300.- Se- 0 para la costa E de las islas Morel, Goicolea, Bustos, Téllez y Bolados —por el lado W— de la costa W de las islas Concoto, Chaffers y Rojas —por el l"
Canal Avellano. Acceso W,Canal Alanta,SIN_GEOMETRIA,,,,,,,387,si,,"Canal Avellano. Acceso W.- Cartas No 8200 y 8300. Separa la costa S de la isla Concoto —por el lado N— de la costa N de las islas Chaffers y Navarro —por el lado S—, en una extensión de poco más de 8,"
Canal Cruces,Canal Cruces,SIN_GEOMETRIA,,6.6,,,,,388,no,,"Canal Cruces.- Carta No 8300. Separa la costa S de las islas Chaffers y Navarro —por el lado N— de la costa N de las islas Basilio y Cárceles —por el lado S—, en una extensión de casi 7,5 millas sigui"
Canal Pajalito,Canal Pajalito,SIN_GEOMETRIA,,,,,,,388,si,,"Canal Pajalito.- Cartas No 8200 y 8300. Separa la costa S de las islas Chaffers, Basilio y Valverde —por el lado N— de la costa N de las islas Rojas y Pen Davis —por el lado S—, en una extensión de po"
Canal Picalito,Canal Picalito,SIN_GEOMETRIA,,,,,,,388,no,,"Canal Picalito.- Carta No 8300. Separa la parte N de costa E de la isla Rojas —por el lado W— de la costa W de la isla Pen Davis —por el lado E—, en una extensión de casi 2,5 millas en dirección gener"
Canal Skorpios,Canal Skorpios,SIN_GEOMETRIA,,,,,,,388,si,,"Canal Skorpios.- Carta No 8300. Separa la costa E de de la parte S de la isla Rojas y de la isla Pen Davis —por el lado W— de la costa W de la isla Jéchica —por el lado E—, en una extensión de poco má"
Canal Simpson,Canal Simpson,SIN_GEOMETRIA,,,,,,,389,si,,"Canal Simpson.- Cartas No 8200 y 8300. Separa la costa S de las islas Broken, Johnson, Bolados, Alex y Rojas —por el lado N— de la costa N de las islas Level y Tahuenahuec —por el lado S—, en una exte"
Canal Chaffers,Canal Chaffers,SIN_GEOMETRIA,,,,,,,389,no,,"Canal Chaffers.- Cartas No 8100 y 8200. Separa la costa E de las islas Riquelme, Arthur, Mellersh, Midhurst, Dalca, May, Forsyth, Johnson, Level e Izaza —por el lado W— de la costa W de las islas Llan"
Canal King,Canal King,SIN_GEOMETRIA,,,,,,,390,no,,"Canal King.- Cartas No 8200 y 8300. Separa la costa S de las islas Level, lzaza, y Tahuenahuec y Carmencita —por el lado N— de la costa N de las islas Ipún, Stokes, Benjamín y Gertrudis —por el lado S"
Paso Lautaro,Canal King,SIN_GEOMETRIA,,,,,,,390,no,,"Paso Lautaro.- Carta No 8200. Separa la costa S y E de los islotes Elvirita —por los lados N y W— de la costa N de la isla Benjamín y los islotes Le May —por los lados S y E—, en una extensión de cómo"
Canal Carrera Oscura,Canal Carrera Oscura,SIN_GEOMETRIA,,,,,,,391,no,,"Canal Carrera Oscura.- Carta No 8300. Separa la costa SE de la isla Gertrudis —por el lado N— de 4 la costa NE de la isla Benjamín —por el lado S—, en una extensión de cómo 5 millas en dirección WNW-E"
Paso Cape Horn,Canal King,SIN_GEOMETRIA,,,,,,,394,no,,"Paso Cape Horn.- Carta No 8200. Separa la costa S de la isla Stokes —por el lado N— de la costa N de la isla Rowlett —por el lado S—, en una extensión de cómo 6 millas. En su acceso E se encuentran lo"
Canal Memory,Canal Memory,SIN_GEOMETRIA,2778,,,,,,395,si,,"Canal Memory.- Carta No 8200. Separa la costa E de la isla Stokes, los islotes Bolivar y Carneyro y la isla Rowlett —por el lado W— de la costa W de la isla Benjamín —por el lado E—, en una extensión"
Canal Goñi,Canal Goñi,SIN_GEOMETRIA,,,,,,,395,no,,"Canal Goñi.- Cartas No 8200 y 8300. Separa la costa SE de las islas Williams, el islote Lientur y la isla Lautaro y la costa S de la isla Jorge —por el lado N— de la costa NW y N de la isla James —por"
Paso Sola,Canal Ciriaco,SIN_GEOMETRIA,,,,,,,396,no,,"Paso Sola.- Carta No 8200.- Separa la costa SE de las islas Lientur y Lautaro —por el lado NW— del borde NW de la isla James —por el lado SE—, en una extensión de casi 3 millas en dirección SW-NE y pr"
Canal Ciriaco,Canal Ciriaco,SIN_GEOMETRIA,926,,,,,,396,si,,Canal Ciriaco.- Cartas No 8160 y 8300. Separa la costa NE y E de la isla Jorge y E de la isla Ja- Cartas: 8000 - 81   AS A LOS NAVEGANTES DEL MES DE MARZO DE 2023. CIRIACO (3002) VIII-1-39 mes —por el
Paso Sucio y canal Prorromant,Paso Sucio,SIN_GEOMETRIA,,,,,,,398,si,,"Paso Sucio y canal Prorromant.- Carta No 8720. El paso Sucio separa la costa E de la isla Menchuán —por el lado W— de la costa W de isla Tenquehuén—por el lado E—, en una extensión de casi 3 millas en"
Seno Burns,Seno Burns,SIN_GEOMETRIA,,,,,,,400,no,,Seno Burns.- Carta No 8800. Se forma al S y 9 millas del cabo Taitao y sobre la costa W de la península Taitao. Se interna casi 10 millas en dirección E y termina en dos angostos esteros. Es de costas
Seno Cornish,Seno Cornish,SIN_GEOMETRIA,741,,,,,,400,si,,Seno Cornish.- Carta No 8800. Se forma entre la costa E y S de la península Skyring y la costa continental. Se interna en el continente por más de 22 millas y forma tres esteros secundarios. Su acceso
Seno Auxilio,Seno Auxilio,SIN_GEOMETRIA,,,,,,,400,si,,Seno Auxilio.- Carta No 8800. Se forma al ENE y unas 7 millas de las islas Usborne y al SE de la entrada del seno Cornish. Se interna al SE y unas 6 millas en la península de Taitao. Unas 3 millas al
Seno Alejandro,Seno Alejandro,SIN_GEOMETRIA,,,,,,,401,si,,Seno Alejandro.- Carta No 8800. Se forma al SW y 7 millas del seno Auxilio y sobre la costa W de la pe- 1 nínsula Taitao. Se interna unas 6 millas en dirección SE. En el centro de la entrada del seno
Golfo de Penas,Golfo Penas,SIN_GEOMETRIA,,,,,,,407,si,,Golfo de Penas.- Carta No 8800. Se forma justamente al S del cabo Tres Montes y sobre la costa continental. Es una gran extensión de mar que abarca desde el paralelo 46º 59' S hasta el paralelo 47º 40
Canal Ninualac,Canal Ninualac,SIN_GEOMETRIA,,,,,,,409,no,,"Canal Ninualac.- Carta No 8160. Separa la costa S; de las islas James y Teresa —por el lado N— de la costa N de las islas Kent, Melchor, Chalacayec, 0 Tangbac y Silachilu —por el lado S—, en una exten"
Canal Pichirupa. Parte N,Canal Ninualac,SIN_GEOMETRIA,,,,,,,410,si,,"Canal Pichirupa. Parte N.- Carta No 8160. Separa la costa E de la isla Kent —por el lado W— de la costa W de la isla Melchor —por el lado E—, en una extensión de unas 6 millas en dirección general N-S"
Paso Tangbac. Acceso N,Canal Ninualac,SIN_GEOMETRIA,1852,,,,,,413,si,,"Paso Tangbac. Acceso N.- Cartas No 8160, 8400 y 8620. Separa la costa E de la isla Chalacayec y la costa NE de la isla Melchor —por los lado W y 0 SW— de la costa W y SW de las islas Tangbac y Dar —po"
Canal Antonio,Canal Antonio,SIN_GEOMETRIA,,,,,,,419,si,,"Canal Antonio.- Carta No 8720. Separa la costa E de las islas Puyó y Tenquehuén —por el lado W— de la costa W de la isla Clemente —por el lado E—, en una extensión de unas 10 millas en dirección gener"
Canal Darwin,Canal Darwin,SIN_GEOMETRIA,,,,,,,419,si,,"Canal Darwin.- Cartas No 8630 y 8700. Separa la costa S de las islas Auchilú, lsquiliac, Veneria, Italia, Palumbo y Quemada —por el lado N— de la costa N de las islas Garrido, Rivero, Marcacci, Canigl"
Canal Williams. Parte N,Canal Williams,SIN_GEOMETRIA,,,,,,,420,si,,"Canal Williams. Parte N.- Cartas No 8631 y 8700. Separa la costa E de las islas Garrido, Clemente y 1 Borrowman —por el lado W— de la costa W de las islas Rivero, Burr, Brown, Pablo, Guerrero y Allan"
Canal Utarupa. Acceso N,Canal Darwin,SIN_GEOMETRIA,,,,,,,421,si,,"Canal Utarupa. Acceso N.- Cartas No 8630 y 8640. Separa la costa E de la isla Rivero —por el lado W— de la costa W de las islas Matilde, Blancas, Oelkers y Lucía —por el lado E—, en una extensión de c"
Canal Unicornio,Canal Unicornio,SIN_GEOMETRIA,,,,,,,421,no,,"Canal Unicornio.- Carta No 8630. Separa la costa 0 NE y E de la isla Isquiliac —por el lado W— de la costa SW de la isla Dring y la costa W de la isla Veneria —por el lado E—, en una extensión de casi"
Canal Pichirupa. Parte S,Canal Darwin,SIN_GEOMETRIA,,,,,,,423,no,,Canal Pichirupa. Parte S.- Carta No 8630. Separa la costa E de las islas Italia y Dring —por el lado W— de varias islas e islotes desmembrados próximos al W de esta parte de la isla Victoria y la isla
Canal Carrera del Cuchi. Acceso W,Canal Darwin,SIN_GEOMETRIA,,,,,,,425,no,,"Canal Carrera del Cuchi. Acceso W.- Carta No 8630. Se denomina así, al canal que partiendo del canal Darwin justamente hacia el NE y frente al puerto ltaliano, corre por los lados NW y N de la isla Pa"
Canal Utarupa,Canal Utarupa,SIN_GEOMETRIA,1852,,,,,,434,si,,"Canal Utarupa.- Cartas No 8630 y 8640. Separa la costa E de la isla Rivero —por el lado W— de la costa W de las islas Matilde, Blancas, Oelkers y Lucía —por el lado E—, en una extensión de unas 9 mill"
Canal de acceso,Canal Acceso,tmarea_nodos_nauticos_v1.json:E-15|E-16,278,,,,,,441,no,,Canal de acceso.- El canalizo de entrada al puerto Refugio queda entre la roca sumergida destacada Cartas: 8000   AS A LOS NAVEGANTES DEL MES DE MARZO DE 2023. REFUGIO (3002) VIII-2-33 al NNE de la is
Boca Wickham,Boca Wickham,SIN_GEOMETRIA,3704,,,,,,443,si,,"Boca Wickham.- Carta No 8720. Se forma entre el lado S de las islas Clemente y Guerrero y la costa 3 continental, próxima al S. Esta boca —llamada originalmente estero Wickham— abarca desde el límite"
Canal Williams. Parte S,Boca Wickham,SIN_GEOMETRIA,,,,,,,445,si,,"Canal Williams. Parte S.- Cartas No 8720 y 8700. Separa entre la costa E de la islas Garrido, Clemente y Borrowman —por el lado W— de la costa W de las islas Allan, Guerrero, Pablo, Brown, Burr y Rive"
Canal Pulluche,Canal Pulluche,SIN_GEOMETRIA,,,,,,,448,no,,"Canal Pulluche.- Carta No 8640. Separa la costa SE de las islas Guerrero y Rivero —por el lado NW— de la isla Ricardo, la costa N de la isla Prieto 2 y la costa NW y N de la isla Salas —por el lado SE"
Canal Abandonados,Canal Abandonados,SIN_GEOMETRIA,,,,,,,448,si,,"Canal Abandonados.- Carta No 8640. Separa la costa S de la isla Prieto —por el lado N— de la costa N de la península de Taitao en esta parte —por el lado S—, en una extensión de unas 4,5 millas en dir"
Canal Alejandro,Canal Alejandro,SIN_GEOMETRIA,,,,,,,449,si,,"Canal Alejandro.- Carta No 8640. Separa la costa W y S de la isla Salas de la costa E de la isla Prieto y la costa N de la península de Taitao, tiene una extensión de unas 11 millas. Es angosto tal co"
Canal Chacabuco,Canal Chacabuco,tmarea_nodos_nauticos_v1.json:E-17,,,,,,,454,no,,"Canal Chacabuco.- Carta No 8640. Separa la costa 1 S de las islas Lucía, Oelckers y Humos y la costa SW de la isla Rojas —por el lado N— y la costa N de las islas Salas, Canquenes, Fitz Roy, Piuco y M"
Canal Utarupa. Acceso S,Canal Chacabuco,tmarea_nodos_nauticos_v1.json:E-17,,,,,,,454,si,,"Canal Utarupa. Acceso S.- Cartas No 8630 y 8640. Separa la costa E de la isla Rivero —por el lado W— de la costa W de las islas Matilde, Blancas, Oelkers y Lucía —por el lado E—, en una extensión de u"
Paso Canquenes,Canal Chacabuco,tmarea_nodos_nauticos_v1.json:E-17,,,,,,,454,si,,"Paso Canquenes.- Carta No 8640. Separa la costa E de la isla Salas —por el lado W— de las islas Canquenes —por el lado E—, en una extensión de unas 5 millas en dirección media NNW-SSE. Es 0 pedregoso,"
Canal Carrera del Diablo,Canal Carrera del Diablo,SIN_GEOMETRIA,,,,,,,454,si,,"Canal Carrera del Diablo.- Cartas No 8640 y 8660. Separa la costa W de la isla Fitz Roy —por el lado E— de la costa E de la península de Taitao en esta parte y la isla Stewart —por el lado W—, en una"
Canal Última Esperanza,Canal Última Esperanza,SIN_GEOMETRIA,,,,,,,455,si,,"Canal Última Esperanza.- Carta No 8660. Separa la costa W de la isla Goñi —por el lado E— de la costa NE de la península de Taitao —por el lado W—, en una extensión de unas 5 millas en dirección 2 NE-"
Canal Errázuriz,Canal Errázuriz,SIN_GEOMETRIA,,,,,,,457,no,,"Canal Errázuriz.- Cartas No 8630, 8640 y 8650. Separa la costa E de las islas Luz y Humos —por el lado W— de la costa W de las islas Traiguén y Rojas y varias islas pequeñas e islotes destacados de la"
Canal Renjifo,Canal Renjifo,SIN_GEOMETRIA,,,,,,,457,no,,"Canal Renjifo.- Cartas No 8640 y 8650. Separa la costa SE de las islas Piuco y Pangal, vecina al S, —por el lado W— de la costa NW de la isla Mc. 0 Pherson —por el lado E—, en una extensión de casi 3,"
Paso Tres Cruces,Canal Chacabuco,tmarea_nodos_nauticos_v1.json:E-17,,,,,,,460,si,,"Paso Tres Cruces.- Carta No 8650. Separa el borde S de la isla Rojas, la punta W de la isla Paty y Cartas: 8000   AS A LOS NAVEGANTES DEL MES DE MARZO DE 2023. TA CANAL CHACABUCO Cap. VIII Baliza lumi"
Canal Moraleda,Canal Moraleda,Canal Moraleda,11112,,,,,,462,si,364,"Canal Moraleda.- Carta No 8400. Es el vasto canal que separa los archipiélagos Guaitecas y Chonos —por el lado W— de la costa continental —por el lado E—, en una extensión de unas 90 millas en direcci"
Canal Manzano. Acceso SE,Canal Moraleda,Canal Moraleda,,,,,,,463,si,,"Canal Manzano. Acceso SE.- Carta No 8100. Separa la costa W de las islas Luisa, Tea y Julia —por el lado N— de la costa NE de las islas Günther y Leucayec —por el lado S—, en una extensión de unas 4 m"
Paso Pedregoso,Canal Moraleda,Canal Moraleda,,,,,,,464,no,,"Paso Pedregoso.- Acceso NW. Cartas No 8221 y 8400. Separa la costa SW de la isla Refugio —por 0 el lado NE— de la costa NE de la isla Yalac —por el lado SW—, en una extensión de 3,7 millas y presenta"
Paso Yalac. Acceso W,Canal Moraleda,Canal Moraleda,1852,,,,,,464,si,,"Paso Yalac. Acceso W.- Cartas No 8221 y 8400. Separa la costa S de la isla Yalac y unas islas destacadas próximas a su extremo SW —por el lado N— de la costa N de la isla Del Barranco —por el lado S—,"
Paso Rano Kau. Acceso W,Canal Moraleda,Canal Moraleda,1296,,,,,,465,si,,Paso Rano Kau. Acceso W.- Cartas No 8221 y 8400. Separa la costa S de la isla Del Barranco ―por el lado N― de la costa N de las islas Ubaldo despren- 1 didas al N del borde NW de la península Melimoyu
Paso Chacao,Canal Moraleda,Canal Moraleda,,,,,,,466,no,,Paso Chacao.- Acceso E. Cartas No 8100 y 8300. Separa la costa S de la isla Leucayec —por el lado - 8300 - 8400 - 8412  erpetrol.cl - Fecha: 24-07-2022
Seno Gala,Seno Gala,SIN_GEOMETRIA,,,,,,,467,si,,"Seno Gala.- Carta No 8511 Se forma por el S de la península Melimoyu, en el lado E del canal Mora- 3 leda. Se interna unas 4 millas en dirección general E, luego cambia de curso al NE y posteriormente"
Canal Pihuel. Acceso E,Canal Moraleda,Canal Moraleda,,,,,,,467,si,,"Canal Pihuel. Acceso E.- Cartas No 8300 y 8400. Separa la costa S de las islas Verdugo y Serrano 0 —por el lado N— de la costa N de las islas Chipana, Aguayo, Lagarto y García —por el lado S—, en una"
Canal Piure. Acceso E,Canal Moraleda,Canal Moraleda,,,,,,,467,no,,Canal Piure. Acceso E.- Cartas No 8300 y 8400. Separa los peligros destacados al S de la isla Garrao Chico y las islas cercanas a la costa S de la isla García —por el lado N— de la costa N de las isla
Canal Jacaf. Acceso W,Canal Moraleda,Canal Moraleda,,,,,,,468,si,,"Canal Jacaf. Acceso W.- Carta No 8500. Separa la costa S de las islas Gala y Wargny y la costa continental vecina al E —por el lado N— de la costa 0 N de las islas Vico, Atilio, Enrique y Manuel, y la"
Canal Salquemán. Acceso W,Canal Moraleda,Canal Moraleda,,,,,,,469,no,,"Canal Salquemán. Acceso W.- Cartas No 8400 y 8500. Separa la costa S de las islas Salquemán, - 8400 - 8500 erpetrol.cl - Fecha: 24-07-2022"
Seno Canalad,Seno Canalad,SIN_GEOMETRIA,,,,,,,470,no,,Seno Canalad.- Cartas No 8400 y 8500. Se forma justamente al S de la punta Salquemán y sobre la costa W de la isla Magdalena. Se interna casi 6 millas en dirección ESE y presenta un ancho de más o men
Canal Chipana. Acceso E,Canal Moraleda,Canal Moraleda,3704,,,,,,470,si,,"Canal Chipana. Acceso E.- Cartas No 8300 y 8400. Separa la costa S del islote Copihue y la isla Filomena —por el lado N— de la costa N de la isla Francisco —por el lado S—, en una extensión de unas 4"
Seno Mondaca,Seno Mondaca,SIN_GEOMETRIA,,,,,,,471,no,,"Seno Mondaca.- Cartas No 8400 y 8500. Se forma al S de la isla Canalad y sobre la costa W de la isla Magdalena, en el lado E del canal Moraleda. Se interna casi 8 millas en dirección ESE y presenta un"
Canal Norte,Canal Norte,tmarea_nodos_nauticos_v1.json:E-02|E-12|E-13,556,,,,,,473,no,,"Canal Norte.- Carta No 8412. Separa la punta N de la entrada del estero Cuptana—por el lado N— de la costa NW de la isla Letreros —por el lado S—, en una extensión de cómo 1 milla en dirección SW-NE y"
Canal Sur,Canal Sur,tmarea_nodos_nauticos_v1.json:E-07|E-14|E-15,,,,,,,473,si,,"Canal Sur.- Carta No 8412. Separa la costa S de la isla Letreros —por el lado N— de la costa N de la isla Cuptana próxima al W de la punta Bornscheuer —por el lado S—, en una extensión de unos 8 cable"
Canal Temuán. Acceso E,Canal Moraleda,Canal Moraleda,9260,,,,,,474,si,,"Canal Temuán. Acceso E.- Cartas No 8300 y 8400. Separa la costa S de las islas Cuptana y Sierra — por el lado N— de la costa N de la isla Tránsito — por el lado S—, en una extensión de unas 7,5 millas"
Canal Tránsito. Acceso E,Canal Moraleda,Canal Moraleda,,,,,,,476,si,,"Canal Tránsito. Acceso E.- Cartas No 8300 y 8400. Separa la costa W y S de la isla Tránsito —por el 4 lado NE— de la costa E de las islas Soria, Florencia y Ramsés II y N de las islas Canal y Lalanca"
Canal Pérez Sur. Acceso E,Canal Moraleda,Canal Moraleda,,,,,,,476,si,,"Canal Pérez Sur. Acceso E.- Cartas No 8300 y 8400. Separa la costa E de las islas Tahuenahuec, 0 Carmencita, Gertrudis, Brieva, Benjamín, Jesús, Topaze y Teresa, el islote Cervantes y las islas Galvar"
Canal Ninualac. Acceso E,Canal Moraleda,Canal Moraleda,,,,,4.0,,477,si,,"Canal Ninualac. Acceso E.- Carta No 8160. Separa la costa S de las islas James y Teresa —por el lado N— de la costa N de las islas Kent, Melchor, Chalacayec, Tangbac y Silachilu —por el lado S—, en un"
Paso Tangbac. Acceso SE,Canal Moraleda,Canal Moraleda,1852,,,,,,478,si,,"Paso Tangbac. Acceso SE.- Cartas No 8160, 8400 y 8620. Separa la costa E de la isla Chalacayec y la costa NE de la isla Melchor —por los lado W y SW— de la costa W y SW de las islas Tangbac y Dar —por"
Canal Puyuguapi (o Poyeguapi). Acceso W,Canal Moraleda,Canal Moraleda,,,,,,,479,si,,"Canal Puyuguapi (o Poyeguapi). Acceso W.- Carta No 8500. Separa las costas S y E de la gran isla Magdalena —por el lado NW— de la costa continental —por el lado SE—, en una extensión de unas 44 millas"
Canal Ferronave. Acceso N,Canal Moraleda,Canal Moraleda,,,,,,,479,si,,"Canal Ferronave. Acceso N.- Carta No 8620. Separa la costa E de las islas Tuap y Lola, el islote Eugenia, las islas Lela, Viola, Latolque, Tadeo, Larenas y Julián, los islotes Los Amigos y Caleuche, l"
Canal Devia,Canal Devia,SIN_GEOMETRIA,,,,,,,480,no,,"Canal Devia.- Carta No 8620. Separa la costa E de los islotes María Isabel y Tisne, la isla Orestes, los islotes Nahuelanca y Pineda, las islas Ñancul, Luchin y Ester —por el lado W— de la costa conti"
Canal Pilcomayo. Acceso W,Canal Moraleda,Canal Moraleda,,9.5,,,,,482,si,,"Canal Pilcomayo. Acceso W.- Carta No 8620 —Plano. Separa la costa S del islote Dirección, las islas Swett y Viel, la roca Blanca, las islas Pilcomayo, Flores y Zolá, la península Elisa, la isla Carval"
Canal Carrera del Chivato. Acceso E,Canal Moraleda,Canal Moraleda,,,,,,,486,si,,"Canal Carrera del Chivato. Acceso E.- Cartas No 8000 y 8620. Separa la costa S de la isla Melchor —por el lado N— de la costa N de la isla Victoria —por el lado S—, en una extensión de unas 23 millas"
Canal Carrera del Cuchi. Acceso E,Canal Moraleda,Canal Moraleda,,,,,,,486,si,,Canal Carrera del Cuchi. Acceso E.- Cartas No 8620 y 8630. Separa la costa S de la isla Victoria —por el lado N— de la costa N y W de la isla Palumbo y costa N de la isla Quemada —por el 0 lado S y E—
Paso Del Medio. Acceso W,Canal Moraleda,Canal Moraleda,,,,,,,488,no,,"Paso Del Medio. Acceso W.- Carta No 8620. Separa la costa S de la isla Gutiérrez, la isla Churrecue y el islote Rodríguez —por el lado N— de la 0 costa N de las islas Lavín y Casma —por el lado S—, en"
Paso Casma. Acceso W,Canal Moraleda,Canal Moraleda,,,,,,,489,si,,"Paso Casma. Acceso W.- Carta No 8620. Separa la costa SW de las islas Lavín y Casma —por el lado NE— de la costa NE de las islas Renaico y Traiguén —por el lado SW—, en una extensión de unas 4,5 milla"
Fiordo Aysén,Fiordo Aysén,Fiordo Aysen,2778,,,,,,489,no,,Fiordo Aysén.- Carta No 8610. Se forma justamente al E del paso del Medio y sobre la costa continental. Se interna como 10 millas en dirección general NE y luego tuerce hacia el SE por otras 20 millas
Canal Darwin. Acceso E,Canal Moraleda,Canal Moraleda,,,,,,,489,si,,"Canal Darwin. Acceso E.- Cartas No 8630 y 8700. Separa la costa S de las islas Auchilú, lsquiliac, 0 Veneria, Italia, Palumbo y Quemada —por el lado N— de la costa N de las islas Garrido, Rivero, Marc"
Canal Errázuriz,Canal Errázuriz,SIN_GEOMETRIA,,,,,,,490,no,457,Canal Errázuriz.- Cartas No 8640 y 8650. Separa la costa E de las islas Luz y Humos —por el lado W— de la costa W de las islas Traiguén y Rojas y varias islas pequeñas e islotes destacados de las dos
Canal Chacabuco,Canal Chacabuco,tmarea_nodos_nauticos_v1.json:E-17,,,,,,,493,no,454,"Canal Chacabuco.- Carta No 8640. Separa la costa S de las islas Lucía, Oelckers y Humos y la costa SW de la isla Rojas —por el lado N— y la costa N de las islas Salas, Canquenes, Fitz Roy, Piuco y Mc."
Canal Chacabuco. Acceso E,Canal Errázuriz,SIN_GEOMETRIA,,,,,,,496,no,,"Canal Chacabuco. Acceso E.- Carta No 8640. Separa la costa S de las islas Lucía, Oelckers y Humos y la costa SW de la isla Rojas —por el lado N— y la costa N de las islas Salas, Canquenes, Fitz Roy, P"
Paso Tres Cruces. Acceso W,Canal Errázuriz,SIN_GEOMETRIA,,,,,,,496,si,,"Paso Tres Cruces. Acceso W.- Carta No 8650. Separa el borde S de la isla Rojas, la punta W de la isla Paty y el límite S de la isla Figueroa —por el lado 0 N— del borde NE de la isla Simpson —por el l"
Canal Refugio,Canal Refugio,SIN_GEOMETRIA,,,,,,,497,si,315,"Canal Refugio.- Cartas No 8211 y 8221. Separa la 2 costa E y S de la isla Refugio —por el lado W y N— de la costa continental y N de la península Melimoyu —por el lado S y E—, en una extensión de poco"
Paso Pedregoso,Canal Refugio,SIN_GEOMETRIA,556,,,,,,498,no,,"Paso Pedregoso.- Cartas No 8221 y 8400. Separa la costa SW de la isla Refugio —por el lado NE— de la costa NE de la isla Yalac —por el lado SW—, en una extensión de 3,7 millas en dirección NW-SE y Car"
Paso Yalac,Seno Melimoyu,SIN_GEOMETRIA,1852,,,,,,499,si,,"Paso Yalac.- Carta No 8221. Separa la costa S de la isla Yalac y unas islas destacadas próximas a su extremo SW —por el lado N— de la costa N de la isla Del Barranco —por el lado S—, en una extensión"
Paso Rano Kau,Seno Melimoyu,SIN_GEOMETRIA,1296,,,,,,499,si,,"Paso Rano Kau.- Cartas No 8221 y 8400. Separa la costa S de la isla Del Barranco ―por el lado N― de la costa N de las islas Ubaldo desprendidas al N del borde NW de la península Melimoyu, ―por el lado"
Seno Melimoyu,Seno Melimoyu,SIN_GEOMETRIA,,,,,,,499,si,,"Seno Melimoyu.- Carta No 8221. Se forma al SSE y 1,8 millas de la isla Refugio y sobre el lado N de la península del mismo nombre. Se interna unas 2,5 millas en dirección SSE y tiene como 1,5 millas d"
Seno Gala,Seno Gala,SIN_GEOMETRIA,,,,,,,500,si,467,"Seno Gala.- Carta No 8511. Se forma por el S de la península Melimoyu, en el lado E del canal Moraleda. Se interna unas 4 millas en dirección general E, luego cambia de curso al NE y posteriormente N"
Paso Petrel. Acceso N,Seno Gala,SIN_GEOMETRIA,,,,,,,501,si,,"Paso Petrel. Acceso N.- Cartas No 8511 y 8500. Separa la costa E de las islas Rudy, Chita y Totó 3 —por el lado W— de la costa W del islote Fábregas y otros próximos al S de él, y la costa continental"
Canal Jacaf,Canal Jacaf,Canal Jacaf,,,,,,,502,no,,"Canal Jacaf.- Carta No 8500. Separa la costa S de la isla Gala, la de más al S de las islas Gala, y la 400 - 8500 - 8511 erpetrol.cl - Fecha: 24-07-2022"
Paso Petrel,Canal Jacaf,Canal Jacaf,,,,,,,503,si,,"Paso Petrel.- Cartas No 8511 y 8500. Separa la costa E de las islas Rudy, Chita y Toto —por el lado W— de la costa W de la isla Fábregas y otros próximos al S de él, y la costa continental —por el lad"
Canal Frödden,Canal Jacaf,Canal Jacaf,,,,,,,504,si,,"Canal Frödden.- Cartas No 8400 y 8500. Separa la 4 costa NE de la isla Atilio —por el lado SW— de la costa SW de las islas Enrique y Manuel —por el lado NE—, en una extensión de unas 5 millas en direc"
Seno Miller,Seno Miller,SIN_GEOMETRIA,,,,,,,504,si,,"Seno Miller.- Carta No 8500. Se forma al E y 1,8 millas de la isla Wargny y sobre la costa S continental, en el lado N del canal Jacaf. Se interna casi 3 millas en dirección N y se abre entre las punt"
Canal Oelckers,Canal Oelckers,SIN_GEOMETRIA,,,,,,,504,si,,"Canal Oelckers.- Carta No 8500. Separa la costa SE de la isla Enrique —por el lado NW— de la costa NW de la isla Manuel —por el lado SE—, en una extensión de unas 3,5 millas en dirección general SW-NE"
