nombre,canal,geometria_ref,ancho_util_m,sonda_canal_min_m,calado_max_m,eslora_max_m,corriente_max_kt,restriccion,pagina,texto_aproximado,es_duplicado_de,contexto
Canal San Antonio,Canal San Antonio,SIN_GEOMETRIA,,,,,,,241,si,,"Canal San Antonio.- Carta No 7310. Separa la costa continental —por el lado W— de la costa W de la isla Quihua —por el lado E—, en una extensión de 5 millas en dirección general N-S y tiene un ancho m"
Paso Lagartija,Canal San Antonio,SIN_GEOMETRIA,370,,,,,,242,si,,"Paso Lagartija.- Cartas No 7310 y 7311. Separa la costa E de la isla Abtao, bajos destacados al SE de dicha costa, y el bajo Abtao —por el lado W— de la isla Lagartija, el bajo del Medio y el borde W"
Paso Lami,Paso Lami,SIN_GEOMETRIA,926,,,,,,243,no,,"Paso Lami.- Carta No 7310. Separa el veril E del banco Lagartija y el bajo Cola —por el lado W— del borde W del bajo Buta y demás que siguen al SE —por el lado E—, en una extensión de 1,5 millas en di"
Paso Corvio,Paso Corvio,SIN_GEOMETRIA,,,,,,,244,si,,"Paso Corvio.- Carta No 7310. Separa los veriles SE y S del bajo Corvio —por el lado NW— del veril NW de los bajos y arrecifes que despide la punta Polmallelhue, el bajo Culenhue y la roca Granelo —por"
Paso Quihua,Paso Quihua,SIN_GEOMETRIA,,,,,,,245,no,,"Paso Quihua.- Carta No 7310. Separa el veril E de los bajos Quihua y Corvio —por el lado W— de la costa W de la isla Quenu —por el lado E—, en una extensión de casi 1,5 millas en dirección N-S. Es anc"
Canal Caicaen,Canal Caicaen,SIN_GEOMETRIA,,,,,,,245,no,,"Canal Caicaen.- Carta No 7310. Separa la costa continental y los lados SE y S de la isla Quihua —por el lado W— de la costa W de la isla Calbuco —por el lado E—, en una extensión de casi 4,2 millas en"
Canal Quihua,Canal Quihua,SIN_GEOMETRIA,,,,,,,245,no,,"Canal Quihua.- Carta No 7310. Separa la costa E de la isla Quihua —por el lado W— de la costa continental —por el lado E—, en una extensión de casi 7 millas. Comunica el canal San Antonio con el canal"
Paso Quenu,Canal Calbuco,tmarea_nodos_nauticos_v1.json:E-02|E-04,,,,,,,248,no,,"Paso Quenu.- Carta No 7310. Separa la costa S de la isla Calbuco —por el lado N— del bajo Pinto y la costa N de la isla Quenu —por el lado S—, en una extensión de casi 1,5 millas en dirección W-E y pr"
Paso Pilolcura,Canal Calbuco,tmarea_nodos_nauticos_v1.json:E-02|E-04,,,,,,,248,no,,"Paso Pilolcura.- Carta No 7310. Separa la costa E de la isla Quenu —por el lado W— de la costa W de la isla Chidguapi —por el lado E—, en una extensión de casi 2 millas en dirección NNW-SSE. Sus aguas"
Paso Tautil,Paso Tautil,SIN_GEOMETRIA,241,,,,,,257,no,,"Paso Tautil.- Carta No 7310 —Plano. Separa la costa S 4 de la pequeña isla Tautil —por el lado N— de la punta San Ramón —por el lado S—, en una extensión de casi 1 milla en dirección E-W y ofrece un a"
Paso Pilolcura,Golfo Ancud,Golfo de Ancud,,,,,,,261,no,,"Paso Pilolcura.- Si se ha de continuar por el paso Pilolcura, una vez sobrepasado el bajo Culenhue, 0 caer a estribor, rodeando este escollo a no menos de 4,6 cables, hasta el rumbo 095º para pasar al"
Canal Calbuco,Canal Calbuco,tmarea_nodos_nauticos_v1.json:E-02|E-04,,,,,,,261,no,,"Canal Calbuco.- Al aproximar a las inmediaciones de la punta Meimén, caer a babor hasta el 035º para pasar al SE y 6 cables de la misma punta Meimén y, más adelante, a 4,7 cables de la punta Aichú. Sa"
Paso Tautil,Golfo Ancud,Golfo de Ancud,,,,,,,261,no,,"Paso Tautil.- Finalmente tomar el paso Tautil, cayendo a estribor al rumbo 090º para pasar al N y 1,3 cables de la punta San Ramón, es decir, un tanto al S del medio freo en la parte más angosta, entr"
Paso Tautil,Golfo Ancud,Golfo de Ancud,,,,,,,262,no,261,"Paso Tautil.- Aproximando al paso Tautil navegando por el paso Guar con rumbo S pasar al E y no menos de 6 cables del borde E de la isla Tautil, para precaverse de las rocas Tautil, destacadas al E de"
Canal Calbuco,Canal Calbuco,tmarea_nodos_nauticos_v1.json:E-02|E-04,,,,,,,262,no,261,"Canal Calbuco.- Salvado el paso Tautil, corregir poco a poco el rumbo a babor hasta el 235º para pasar al NW y 3 cables de la punta Chaco. Así, se 3 evitará caer en el banco San Agustín y obstrucción"
Paso Pilolcura,Golfo Ancud,Golfo de Ancud,,,,,,,262,no,261,"Paso Pilolcura.- Si se ha de continuar por el paso Pilolcura, una vez sobrepasada la punta Aichú, enmendar el rumbo a babor hasta el 180º para pasar al W y 3 cables de las puntas Blanca y Quiecho que"
Seno Reloncaví,Seno Reloncaví,Seno Reloncavi,,,,,,,263,no,175,"Seno Reloncaví.- Carta No 7320. Es el extenso brazo de mar que se abre hacia el N del golfo de Ancud, entre la punta Perhue de la isla Puluqui —por el lado W— y la punta Trentelhué de la costa contine"
Paso Queullín,Paso Queullín,SIN_GEOMETRIA,,,,,,,264,si,,"Paso Queullín.- Carta No 7300. Separa la costa E de la isla Puluqui, vecina a la punta Perhue —por el lado W— de la costa W de la isla Queullín y veril W del banco San José —por el lado E—, en una ex-"
Paso Nao,Seno Reloncaví,Seno Reloncavi,1019,,,,,,266,si,,"Paso Nao.- Carta No 7320. Separa la costa W de la isla Nao —por el lado E— de la costa E de la isla Queullín —por el lado W—, en una extensión de poco más de 1,5 millas en dirección SW-NE. Es angosto,"
Paso Tautil,Seno Reloncaví,Seno Reloncavi,241,,,,,,282,no,,"Paso Tautil.- Carta No 7310 —Plano. Se forma al NW y 8,3 millas de la punta Perhue y separa la costa S de la pequeña isla Tautil —por el lado N— de la punta San Ramón —por el lado S—, en una extensión"
Paso Guar,Paso E Isla Guar,SIN_GEOMETRIA,3148,,,,,,283,no,,"Paso Guar.- Cartas No 7310 y 7320. Separa la cos- 1 ta continental comprendida entre la isla Huelmo y la punta Guatral —por el lado W— de la costa W de las islas Malliña y Guar —por el lado E—, en una"
Paso Maillén,Paso E Isla Maillén,SIN_GEOMETRIA,,,,,,,287,si,,"Paso Maillén.- Cartas Nos 7320 y 7322. Separa la 4 costa continental en las cercanías de la punta Panitao —por el lado W— de la costa NW y W de la isla Maillén —por el lado E—, en una extensión aproxi"
Canal Tenglo,Canal Tenglo,tmarea_nodos_nauticos_v1.json:E-01|E-02,,11.0,,,,,291,si,,"Canal Tenglo.- Carta No 7321 —Plano. Separa la costa continental —por el lado N— y la costa N y NW de la isla Tenglo —por el lado S—, en una extensión de unas 3 millas en dirección general SW- NE, sig"
Golfo Corcovado,Golfo Corcovado,Golfo Corcovado,33336,,,,,,297,si,233,Golfo Corcovado.- Carta No 7400. Es el gran brazo de mar que se forma entre la costa SE de la isla Chiloé y la costa continental comprendida entre la punta Vilcún —por el lado N— y la isla Refugio —po
Canal Refugio,Canal Refugio,SIN_GEOMETRIA,,,,,,,315,si,,Canal Refugio.- Cartas Nos 8211 y 8221. Separa la costa S de la isla Yalac y la costa S y luego E de la isla Refugio —por el lado N y W— de la costa N de la península Melimoyu y la costa E continental
Canal Lemuy,Canal Lemuy,SIN_GEOMETRIA,,,,,,,317,si,,"Canal Lemuy.- Carta No 7370. Separa la costa N de la isla Lemuy —por el lado S— de la costa E de la isla Chiloé, entre las puntas Aguantao y el extremo S de isla Linlinao, en una extensión de unas 6,7"
Canal Quehui,Canal Quehui,SIN_GEOMETRIA,,,,,,,317,si,201,"Canal Quehui.- Carta No 7370. Separa la costa E de la isla Lemuy —por el lado W— de la costa W de las islas Chelín y Quehui —por el lado E—, en una extensión de poco más de 6 millas en dirección 0 med"
Canal Yal,Canal Yal,SIN_GEOMETRIA,,,,,,,321,no,,Canal Yal.- Cartas No 7370 y 7430. Separa la costa W y parte de la costa S de la isla Lemuy —por 370 - 7372 - 7374 erpetrol.cl - Fecha: 24-07-2022
