nombre,tipo,canal,carta_ref,sonda_m,senalizado,pagina,es_duplicado_de
Bajo Quihua,bajo,Paso Corvio,7300,,,244,
Bajo Corvio,bajo,Paso Corvio,7300,9.9,si,244,
Bajo Pinto,bajo,Paso Quihua,7300,,,245,
Bajo Ahuenco,bajo,Canal Calbuco,7300,,,249,
Banco San Agustín,banco,Paso Tautil,7310,4.4,,257,
Bajo Culenhue,bajo,Golfo Ancud,7310,,,258,
Banco Amnistía,banco,Golfo Ancud,7300,,,259,
Banco San José,banco,Paso Queullín,7300,,,265,
Banco Petrohué,banco,Seno Reloncaví,7330,,,272,
Roca Verde,roca,Seno Reloncaví,7320,,,274,
Roca Negra,roca,Seno Reloncaví,7320,,,274,
Banco Coihuín,banco,Seno Reloncaví,7320,,,275,
Bajo Tenglo,bajo,Seno Reloncaví,7320,5.0,,276,
Roca Lobos,roca,Seno Reloncaví,7310,,,284,
Roca Blanca,roca,Seno Reloncaví,7310,,,284,
Restos náufragos,naufragio,Seno Reloncaví,7320,,si,285,
Bajo Pucarí,bajo,Seno Reloncaví,7320,,,285,
Bajo Pedrero,bajo,Seno Reloncaví,7320,6.5,,286,
Bajo fondo,bajo,Paso E Isla Maillén,7320,4.6,,287,
Bajo fondo,bajo,Paso E Isla Maillén,7320,,,290,287
Bajo Abreojo,bajo,Golfo Corcovado,7400,,,303,
Bajo fondo costero,bajo,Canal Lemuy,7370,3.0,si,318,
Banco Río Gamboa,banco,Canal Lemuy,7370,,,319,
Bajo Apabón,bajo,Canal Yal,7370,,,325,
Bajo Johansen,bajo,Canal Yal,7370,3.1,,325,
Bajo Vettor Pisani,bajo,Golfo Corcovado,7370,3.1,,326,
Bajo Minna,bajo,Golfo Corcovado,7370,2.0,,326,
Bajo Solitario,bajo,Golfo Corcovado,7370,5.0,,326,
Bajo Aitui,bajo,Golfo Corcovado,7400,,,327,
Bajo Chalinao,bajo,Golfo Corcovado,7400,,,327,
Bajo Magallanes,bajo,Canal Queilén,7400,,,328,
Bajo Bien Conocido,bajo,Canal Queilén,7400,7.0,,328,
Bajo Chagua,bajo,Canal Queilén,7392,,,332,
Roca Navío,roca,Canal Queilén,7392,,,332,
Bajo Diez,bajo,Canal Queilén,7400,4.0,,333,
Bajo Mc-Intyre,bajo,Canal Queilén,7400,,,333,
Banco Chaiguao,banco,Canal Queilén,7400,,,334,
Bajo Velahue,bajo,Canal Chaiguao,7400,,,335,
Bajo Pilcomayo,bajo,Canal Chaiguao,7400,4.7,,336,
Bajo Oratorio,bajo,Canal Chaiguao,7400,3.3,,336,
Roca,roca,Canal Chaiguao,7400,,,336,
Bajo Punta Laitec,bajo,Canal Yelcho,7400,,,337,
Bajo Laitec,bajo,Canal Yelcho,7400,10.0,,337,
Bajo Errázuriz,bajo,Canal Yelcho,7400,9.9,,337,
Bajo Anselmo,bajo,Canal Laitec,7400,4.6,,339,
Roca Aguja,roca,Canal Laitec,7400,,,339,
Bajo Blanco,bajo,Canal Laitec,7400,1.1,,339,
Bajo San Pedro,bajo,Boca Guafo,7400,3.4,,344,
Rocas Salientes,roca,Boca Guafo,7500,,,347,
Roca Ballena,roca,Boca Guafo,7500,,,351,
Roca denunciada,roca,Boca Guafo,7500,,,351,
Rocas Caduguapi,roca,Boca Guafo,7500,1.8,,352,
Rocas Sombrero y Chata,roca,Boca Guafo,7500,,,352,
Rocas Canoitad,roca,Boca Guafo,7500,,si,352,
Roca Melinka,roca,Boca Guafo,8000,,si,360,
Bajo Hederra,bajo,Canal Tuamapu,8000,,,368,
Bajo Díaz,bajo,Canal Tuamapu,8000,4.2,,368,
Bajo López,bajo,Canal Tuamapu,8000,,,368,
Roca Espanto,roca,Canal Tuamapu,8000,,,369,
Bajo fondo,bajo,Canal Tuamapu,8000,,,369,
Bajo fondo,bajo,Canal Pérez Norte,8000,4.2,,370,
Roca Faro Negra,roca,Paso Chacao,8000,,,371,
Bajo fondo,bajo,Canal Costa Quila,8000,4.9,,372,
Rocas Roa,roca,Canal Costa Quila,8000,8.8,,372,
Rocas Luche,roca,Paso Estrecho,8000,,,379,
Bajo Quentaumet,bajo,Canal Pérez Sur,8000,6.6,,384,
Rocas Hulk,roca,Paso Huarro,8000,,,386,
Bajo fondo,bajo,Canal Alanta,8000,19.7,,387,
Bajo fondo,bajo,Canal King,8000,10.8,,390,
Roca Escobar,roca,Canal King,8000,,,390,
Bajo Dublé,bajo,Canal King,8000,,,391,
Roca Tacna,roca,Canal King,8000,,,391,
Rocas Hellyer,roca,Paso Sucio,8000,,,400,
Bajo Dittborn,bajo,Canal Ninualac,8000,8.8,,411,
Roca,roca,Canal Ninualac,8000,,,411,
Roca Engaño,roca,Canal Ninualac,8000,,,411,
Bajo fondo,bajo,Canal Ninualac,8000,22.0,,414,
Rocas Blanco,roca,Canal Ninualac,8000,,,414,
Roca Westhoff,roca,Canal Ninualac,8000,,,414,
Roca Angamos,roca,Canal Ninualac,8000,,,417,
Bajo fondo,bajo,Canal Ninualac,8000,,,418,414
Bajo fondo,bajo,Canal Ninualac,8000,11.3,,418,414
Bajo fondo,bajo,Canal Ninualac,8000,,,418,414
Roca sumergida,roca,Canal Ninualac,8000,,,418,
Roca Pájaros,roca,Canal Darwin,8000,,si,422,
Bajo fondo,bajo,Canal Darwin,8000,,,423,
Bajo y roca Darwin,bajo,Canal Darwin,8000,6.9,si,423,
Roca Caracol,roca,Canal Darwin,8000,,,424,
Rocas en las cercanías del borde W de isla Quemada,roca,Canal Darwin,8000,,,427,
Roca,roca,Canal Darwin,8000,,si,427,
Roca,roca,Canal Utarupa,8000,,,436,
Bajo fondo y roca,bajo,Canal Utarupa,8000,4.3,si,439,
Roca Gallardo,roca,Canal Utarupa,8000,,,440,
Bajo fondo,bajo,Canal Utarupa,8000,3.8,,440,
Bajo Valdivia,bajo,Canal Utarupa,8000,4.2,,441,
Bajo Wichmann,bajo,Canal Utarupa,8000,6.9,si,442,
Bajo Derrota,bajo,Canal Utarupa,8000,18.2,si,442,
Bajo Roepke,bajo,Canal Pulluche,8000,7.9,,450,
Bajo fondo,bajo,Canal Pulluche,8000,,,451,
Bajo fondo,bajo,Canal Pulluche,8000,,,451,451
Bajo Magallanes,bajo,Canal Chacabuco,8000,3.9,,455,
Rocas Observatorio,roca,Canal Chacabuco,8000,,,456,
Bajo Maud,bajo,Canal Chacabuco,8000,2.6,,457,
Bajo Atención,bajo,Canal Chacabuco,8000,10.6,,457,
Roca,roca,Canal Chacabuco,8000,8.3,,458,
Bajo fondo,bajo,Canal Moraleda,8000,4.6,,466,
Roca Negra,roca,Canal Moraleda,8000,,,466,
Roca Chacabuco,roca,Canal Moraleda,8000,,,468,
Rocas Los Cayes,roca,Canal Moraleda,8000,,,468,
Rocas Janequeo,roca,Canal Moraleda,8000,,,475,
Rocas Blanco,roca,Canal Moraleda,8000,,si,477,
Roca Westhoff,roca,Canal Moraleda,8000,,,477,
Roca Inal,roca,Canal Moraleda,8000,,,478,
Rocas,roca,Canal Moraleda,8000,,,483,
Bajo fondo,bajo,Canal Moraleda,8000,3.6,,483,466
Bajo Otranto,bajo,Canal Moraleda,8000,4.2,,484,
Roca,roca,Canal Moraleda,8000,,,484,
Bajo fondo,bajo,Canal Moraleda,8000,,,487,466
Bajo Figari,bajo,Canal Moraleda,8000,3.6,si,488,
Bajo fondo y roca aflorada,bajo,Canal Errázuriz,8000,4.9,,492,
Roca Gloria,roca,Canal Errázuriz,8000,,si,493,
Roca y bajo fondo,roca,Canal Errázuriz,8000,5.2,si,493,
Roca Urbina,roca,Seno Melimoyu,8000,,,499,
Rocas Cecilia,roca,Seno Melimoyu,8000,,,499,
Bajo Jacaf,bajo,Canal Jacaf,8000,,,503,
Roca Robinet,roca,Canal Jacaf,8000,,,505,
Roca Orestes,roca,Canal Jacaf,8000,,,507,
Roca,roca,Paso Galvarino,8000,,si,520,
Roca y bajo fondo,roca,Canal Ferronave,8000,2.6,,526,
Roca Froyo,roca,Canal Ferronave,8000,,,527,
Roca Hijerra,roca,Canal Ferronave,8000,,,527,
Roca,roca,Canal Ferronave,8000,,,527,
Bajo Vásquez,bajo,Canal Ferronave,8000,3.6,,527,
Bajo Angustia,bajo,Canal Ferronave,8000,7.6,,528,
Roca,roca,Canal Ferronave,8000,,,532,527
Roca Norte,roca,Canal Ferronave,8000,,,532,
Roca Weste,roca,Canal Ferronave,8000,,si,532,
Roca Blanca,roca,Canal Pilcomayo,8000,,,539,
Roca,roca,Paso Casma,8000,,,544,
Bajo Del Carmen,bajo,Paso Casma,8000,5.3,,545,
Bajo Casma,bajo,Paso Casma,8000,5.1,,545,
Banco Babor,banco,Fiordo Aysén,8000,,,549,
Banco Estribor,banco,Fiordo Aysén,8000,,,549,
Bajo fondo,bajo,Fiordo Aysén,8000,,si,551,
Roca,roca,Canal Costa,8000,2.6,,561,
Roca Aguirre,roca,Paso Tres Cruces,8000,4.0,,569,
Bajo Porvenir,bajo,Paso Tres Cruces,8000,,,569,
Roca Sepiclayán,roca,Golfo Tres Montes,8000,,,583,
Bajo Entrada,bajo,Golfo Tres Montes,8000,,,589,
Roca Barrientos,roca,Golfo Tres Montes,8000,,,590,
Roca Tortuga,roca,Golfo Tres Montes,8000,34.0,,592,
Roca Solitaria,roca,Golfo Tres Montes,8000,,,592,
Bajo Lantil,bajo,Golfo Tres Montes,8000,,,593,
Banco San Tadeo,banco,Golfo Tres Montes,8000,,,594,
Bajo San Quintín,bajo,Golfo Tres Montes,8000,10.0,,594,
Roca Antonio,roca,Seno Aldunate,8000,1.8,,596,
"Arrecife sin nombre (bajo fondo 1,3 m)",escollo,Canal Carbunco,8100,1.3,,363,
